Area,Benchmark,Price Index,1 Month +/-,6 Month +/-,1 Year +/-,3 Year +/-,5 Year +/-,Property Type,Report Month,Report Year
Burnaby East,"$260,700",100.0,0.0,0.0,0.0,0.0,0.0,Apartment,1,2005
Burnaby East,"$265,900",102.0,2.0,0.0,0.0,0.0,0.0,Apartment,2,2005
Burnaby East,"$271,300",104.1,2.1,0.0,0.0,0.0,0.0,Apartment,3,2005
Burnaby East,"$276,800",106.2,2.0,0.0,0.0,0.0,0.0,Apartment,4,2005
Burnaby East,"$282,600",108.4,2.1,0.0,0.0,0.0,0.0,Apartment,5,2005
Burnaby East,"$288,300",110.6,2.0,0.0,0.0,0.0,0.0,Apartment,6,2005
Burnaby East,"$290,400",111.4,0.7,11.4,0.0,0.0,0.0,Apartment,7,2005
Burnaby East,"$292,700",112.3,0.8,10.1,0.0,0.0,0.0,Apartment,8,2005
Burnaby East,"$295,100",113.2,0.8,8.7,0.0,0.0,0.0,Apartment,9,2005
Burnaby East,"$298,700",114.6,1.2,7.9,0.0,0.0,0.0,Apartment,10,2005
Burnaby East,"$302,100",115.9,1.1,6.9,0.0,0.0,0.0,Apartment,11,2005
Burnaby East,"$305,800",117.3,1.2,6.1,0.0,0.0,0.0,Apartment,12,2005
Burnaby East,"$305,200",117.1,-0.2,5.1,17.1,0.0,0.0,Apartment,1,2006
Burnaby East,"$305,000",117.0,-0.1,4.2,14.7,0.0,0.0,Apartment,2,2006
Burnaby East,"$304,500",116.8,-0.2,3.2,12.2,0.0,0.0,Apartment,3,2006
Burnaby East,"$316,400",121.4,3.9,5.9,14.3,0.0,0.0,Apartment,4,2006
Burnaby East,"$328,700",126.1,3.9,8.8,16.3,0.0,0.0,Apartment,5,2006
Burnaby East,"$341,700",131.1,4.0,11.8,18.5,0.0,0.0,Apartment,6,2006
Burnaby East,"$343,000",131.6,0.4,12.4,18.1,0.0,0.0,Apartment,7,2006
Burnaby East,"$344,600",132.2,0.5,13.0,17.7,0.0,0.0,Apartment,8,2006
Burnaby East,"$345,900",132.7,0.4,13.6,17.2,0.0,0.0,Apartment,9,2006
Burnaby East,"$347,500",133.3,0.5,9.8,16.3,0.0,0.0,Apartment,10,2006
Burnaby East,"$349,300",134.0,0.5,6.3,15.6,0.0,0.0,Apartment,11,2006
Burnaby East,"$350,800",134.6,0.4,2.7,14.7,0.0,0.0,Apartment,12,2006
Burnaby East,"$357,400",137.1,1.9,4.2,17.1,0.0,0.0,Apartment,1,2007
Burnaby East,"$363,900",139.6,1.8,5.6,19.3,0.0,0.0,Apartment,2,2007
Burnaby East,"$370,400",142.1,1.8,7.1,21.7,0.0,0.0,Apartment,3,2007
Burnaby East,"$374,800",143.8,1.2,7.9,18.5,0.0,0.0,Apartment,4,2007
Burnaby East,"$379,500",145.6,1.3,8.7,15.5,0.0,0.0,Apartment,5,2007
Burnaby East,"$384,000",147.3,1.2,9.4,12.4,0.0,0.0,Apartment,6,2007
Burnaby East,"$384,200",147.4,0.1,7.5,12.0,0.0,0.0,Apartment,7,2007
Burnaby East,"$384,500",147.5,0.1,5.7,11.6,0.0,0.0,Apartment,8,2007
Burnaby East,"$384,700",147.6,0.1,3.9,11.2,0.0,0.0,Apartment,9,2007
Burnaby East,"$388,600",149.1,1.0,3.7,11.9,0.0,0.0,Apartment,10,2007
Burnaby East,"$392,600",150.6,1.0,3.4,12.4,0.0,0.0,Apartment,11,2007
Burnaby East,"$396,700",152.2,1.1,3.3,13.1,0.0,0.0,Apartment,12,2007
Burnaby East,"$402,200",154.3,1.4,4.7,12.5,54.3,0.0,Apartment,1,2008
Burnaby East,"$407,900",156.5,1.4,6.1,12.1,53.4,0.0,Apartment,2,2008
Burnaby East,"$413,400",158.6,1.3,7.5,11.6,52.4,0.0,Apartment,3,2008
Burnaby East,"$414,400",159.0,0.3,6.6,10.6,49.7,0.0,Apartment,4,2008
Burnaby East,"$415,500",159.4,0.3,5.8,9.5,47.0,0.0,Apartment,5,2008
Burnaby East,"$416,500",159.8,0.3,5.0,8.5,44.5,0.0,Apartment,6,2008
Burnaby East,"$414,200",158.9,-0.6,3.0,7.8,42.6,0.0,Apartment,7,2008
