Area,Benchmark,Price Index,1 Month +/-,6 Month +/-,1 Year +/-,3 Year +/-,5 Year +/-,Property Type,Report Month,Report Year
Burnaby East,"$270,700",100.0,0.0,0.0,0.0,0.0,0.0,Townhouse,1,2005
Burnaby East,"$271,500",100.3,0.3,0.0,0.0,0.0,0.0,Townhouse,2,2005
Burnaby East,"$272,300",100.6,0.3,0.0,0.0,0.0,0.0,Townhouse,3,2005
Burnaby East,"$273,200",100.9,0.3,0.0,0.0,0.0,0.0,Townhouse,4,2005
Burnaby East,"$274,800",101.5,0.6,0.0,0.0,0.0,0.0,Townhouse,5,2005
Burnaby East,"$276,100",102.0,0.5,0.0,0.0,0.0,0.0,Townhouse,6,2005
Burnaby East,"$281,300",103.9,1.9,3.9,0.0,0.0,0.0,Townhouse,7,2005
Burnaby East,"$287,000",106.0,2.0,5.7,0.0,0.0,0.0,Townhouse,8,2005
Burnaby East,"$292,600",108.1,2.0,7.5,0.0,0.0,0.0,Townhouse,9,2005
Burnaby East,"$294,300",108.7,0.6,7.7,0.0,0.0,0.0,Townhouse,10,2005
Burnaby East,"$295,900",109.3,0.6,7.7,0.0,0.0,0.0,Townhouse,11,2005
Burnaby East,"$297,500",109.9,0.5,7.7,0.0,0.0,0.0,Townhouse,12,2005
Burnaby East,"$303,200",112.0,1.9,7.8,12.0,0.0,0.0,Townhouse,1,2006
Burnaby East,"$308,900",114.1,1.9,7.6,13.8,0.0,0.0,Townhouse,2,2006
Burnaby East,"$314,600",116.2,1.8,7.5,15.5,0.0,0.0,Townhouse,3,2006
Burnaby East,"$322,700",119.2,2.6,9.7,18.1,0.0,0.0,Townhouse,4,2006
Burnaby East,"$331,100",122.3,2.6,11.9,20.5,0.0,0.0,Townhouse,5,2006
Burnaby East,"$339,500",125.4,2.5,14.1,22.9,0.0,0.0,Townhouse,6,2006
Burnaby East,"$341,900",126.3,0.7,12.8,21.6,0.0,0.0,Townhouse,7,2006
Burnaby East,"$344,100",127.1,0.6,11.4,19.9,0.0,0.0,Townhouse,8,2006
Burnaby East,"$346,000",127.8,0.6,10.0,18.2,0.0,0.0,Townhouse,9,2006
