Area,Benchmark,Price Index,1 Month +/-,6 Month +/-,1 Year +/-,3 Year +/-,5 Year +/-,Property Type,Report Month,Report Year
Greater Vancouver,"$784,000",205.7,2.3,10.6,20.9,32.1,36.1,Residential - All Types,1,2016
Lower Mainland,"$694,600",194.6,2.2,10.0,19.4,28.5,32.3,Residential - All Types,1,2016
Bowen Island,"$649,400",140.8,1.1,5.7,11.8,13.4,16.8,Residential - All Types,1,2016
Burnaby East,"$720,000",199.7,1.0,5.4,18.1,28.2,33.6,Residential - All Types,1,2016
Burnaby North,"$648,100",195.7,2.4,8.1,18.0,27.8,32.3,Residential - All Types,1,2016
Burnaby South,"$711,600",201.0,1.0,7.4,15.7,28.4,31.5,Residential - All Types,1,2016
Coquitlam,"$662,500",196.5,2.4,11.5,21.4,33.9,38.9,Residential - All Types,1,2016
Ladner,"$782,500",220.3,5.9,20.8,34.9,44.5,49.7,Residential - All Types,1,2016
Maple Ridge,"$490,800",156.3,2.1,7.3,13.5,16.6,18.4,Residential - All Types,1,2016
New Westminster,"$436,600",192.1,3.1,8.6,16.1,24.3,27.4,Residential - All Types,1,2016
North Vancouver,"$862,800",193.9,1.9,12.7,21.8,35.1,42.6,Residential - All Types,1,2016
Pitt Meadows,"$467,400",169.9,1.4,6.3,11.5,20.5,22.8,Residential - All Types,1,2016
Port Coquitlam,"$525,500",179.9,2.6,10.1,20.3,26.8,28.7,Residential - All Types,1,2016
Port Moody,"$662,400",183.1,2.0,10.7,21.0,32.9,35.1,Residential - All Types,1,2016
Richmond,"$722,600",215.7,2.5,11.8,22.5,31.8,31.1,Residential - All Types,1,2016
Squamish,"$520,800",165.7,5.3,10.0,17.7,37.1,36.4,Residential - All Types,1,2016
Sunshine Coast,"$400,500",140.3,1.7,5.8,13.4,12.8,15.0,Residential - All Types,1,2016
Tsawwassen,"$894,500",231.9,4.5,24.3,43.0,56.5,72.5,Residential - All Types,1,2016
Vancouver East,"$844,000",250.8,2.7,10.9,24.3,40.4,49.8,Residential - All Types,1,2016
Vancouver West,"$1,068,900",223.2,1.8,11.5,22.1,36.1,41.4,Residential - All Types,1,2016
West Vancouver,"$2,153,400",237.1,3.0,11.3,25.8,44.0,63.9,Residential - All Types,1,2016
Whistler,"$576,700",134.4,2.3,5.7,11.2,23.2,14.5,Residential - All Types,1,2016
Greater Vancouver,"$1,284,500",237.3,2.8,12.3,27.4,42.9,52.4,Detached,1,2016
Lower Mainland,"$1,010,500",215.5,2.7,11.8,24.9,37.3,46.0,Detached,1,2016
Bowen Island,"$649,400",140.8,1.1,5.7,11.8,13.4,16.8,Detached,1,2016
Burnaby East,"$1,025,000",229.2,2.4,11.7,32.5,45.3,54.9,Detached,1,2016
Burnaby North,"$1,290,200",249.5,2.8,10.3,28.4,44.6,59.1,Detached,1,2016
Burnaby South,"$1,314,800",251.7,1.2,8.3,23.9,42.4,58.7,Detached,1,2016
Coquitlam,"$984,500",218.5,2.3,12.5,26.5,41.5,53.1,Detached,1,2016
Ladner,"$1,010,700",241.9,9.2,28.7,46.3,56.5,69.2,Detached,1,2016
Maple Ridge,"$559,200",159.3,2.3,9.4,16.3,21.9,24.6,Detached,1,2016
New Westminster,"$904,800",225.7,3.1,12.2,32.0,41.4,45.8,Detached,1,2016
North Vancouver,"$1,402,800",220.9,3.0,17.4,31.4,50.4,63.4,Detached,1,2016
Pitt Meadows,"$620,000",174.7,2.3,7.9,16.2,25.9,31.6,Detached,1,2016
Port Coquitlam,"$767,000",204.5,3.1,13.0,29.8,40.0,47.9,Detached,1,2016
Port Moody,"$1,138,200",210.2,1.8,10.7,23.4,40.2,46.8,Detached,1,2016
Richmond,"$1,386,500",268.6,2.8,14.1,29.7,42.6,42.7,Detached,1,2016
Squamish,"$671,700",177.0,6.2,12.2,21.5,38.7,43.3,Detached,1,2016
Sunshine Coast,"$399,000",139.8,1.7,6.1,13.8,12.7,14.5,Detached,1,2016
